profile_id,email,phone_number,first_name,last_name,city,region,country,timezone,source,subscriptions,consent_status,email_subscribed,sms_subscribed,created,updated,predicted_clv_1y,predicted_clv_lifetime,churn_risk,predicted_gender,average_days_between_orders,average_order_value,total_revenue,expected_date_of_next_order,historic_clv,historic_number_of_orders,custom_properties
klv_cust7635473142,user10@example.com,+15558154768,Carol,Chen,London,ON,United States,America/New_York,landing_page,{},subscribed,False,True,2022-06-29 00:54:22,2025-01-30 23:54:40,117.6,426.82,medium,female,108.3,41.4,436.61,2025-05-16 01:56:08,58.87,4,{}
klv_cust6241752544,user11@example.com,+15555937109,David,Chen,Sydney,NY,United States,America/New_York,social,{},subscribed,True,False,2023-08-21 17:01:39,2025-02-20 20:33:37,292.95,1206.57,low,male,31.0,50.32,602.6,2025-12-09 16:11:55,380.61,6,{}
klv_cust7825844140,user12@example.com,+15551753281,Carol,Smith,London,CA,United Kingdom,America/New_York,shopify,{},subscribed,False,False,2023-12-13 00:08:42,2024-12-12 05:32:29,23.52,95.57,low,female,53.2,45.1,106.14,2025-05-25 04:48:33,164.81,11,{}
klv_cust4460967357,user13@example.com,+15553234528,Bob,Kim,Sydney,NSW,United States,America/New_York,shopify,{},subscribed,True,True,2023-02-25 07:43:56,2024-11-01 01:16:51,195.86,682.08,low,male,100.3,38.87,152.31,2025-10-10 17:31:08,126.06,8,{}
klv_cust8293453178,user14@example.com,+15558008467,Bob,Smith,Toronto,Greater London,United Kingdom,America/New_York,landing_page,{},subscribed,False,True,2022-12-07 14:57:35,2024-12-27 21:06:58,79.48,208.57,medium,female,72.5,79.02,470.86,2025-08-05 03:00:40,240.74,11,{}
klv_cust6756332150,user15@example.com,+15551372759,Eve,Smith,Los Angeles,Greater London,United Kingdom,America/New_York,social,{},subscribed,False,False,2022-01-08 00:05:12,2024-06-13 22:21:03,315.74,1139.01,low,female,53.1,54.32,405.26,2025-09-08 08:02:41,100.76,5,{}
klv_cust1667779376,user16@example.com,+15557589104,Eve,Kim,New York,NY,India,America/New_York,landing_page,{},subscribed,True,False,2023-09-19 01:58:04,2024-01-01 03:07:04,232.25,665.41,low,unknown,99.3,103.06,284.12,2025-12-17 18:45:07,568.32,9,{}
klv_cust2445662585,user17@example.com,+15556807515,Bob,Kim,New York,Greater London,United States,America/New_York,social,{},subscribed,True,True,2022-10-23 15:32:50,2024-01-02 01:01:50,229.9,949.17,medium,female,101.3,40.65,187.93,2025-06-22 21:17:14,53.3,1,{}
klv_cust5693307665,user18@example.com,+15559897439,Carol,Patel,London,NY,Canada,America/New_York,landing_page,{},subscribed,False,False,2023-09-23 20:57:51,2024-08-02 02:38:48,316.54,1293.94,high,female,82.0,82.97,400.28,2025-09-24 04:09:53,546.41,6,{}
klv_cust5710360983,user19@example.com,+15557611478,Eve,Patel,London,ON,United States,America/New_York,shopify,{},subscribed,True,False,2022-12-18 23:04:09,2024-06-26 11:42:17,273.32,1270.87,winback,unknown,76.8,74.96,487.11,2025-06-21 04:16:10,476.08,12,{}
klv_cust8934927891,user20@example.com,+15557682976,David,Kim,London,NY,India,America/New_York,social,{},subscribed,True,True,2022-05-13 20:32:50,2024-02-12 22:19:58,184.06,475.62,low,male,42.3,98.71,444.38,2025-06-11 18:57:32,461.41,4,{}
klv_cust7887950851,user21@example.com,+15555472327,Bob,Chen,Los Angeles,Greater London,United Kingdom,America/New_York,landing_page,{},subscribed,True,False,2023-07-12 01:34:57,2024-08-29 11:43:49,259.2,754.32,medium,female,56.6,100.79,478.06,2025-12-13 03:48:20,517.89,3,{}
klv_cust4466589567,user22@example.com,+15551620915,Eve,Patel,London,NY,United States,America/New_York,landing_page,{},subscribed,True,True,2022-06-21 19:50:36,2024-05-18 05:38:49,240.15,877.8,medium,male,110.0,103.03,316.22,2025-06-19 17:40:33,457.99,8,{}
klv_cust8429141456,user23@example.com,+15552253204,Eve,Patel,New York,CA,United States,America/New_York,social,{},subscribed,True,False,2022-05-16 00:45:35,2024-08-11 04:39:57,115.49,450.13,medium,unknown,47.2,117.82,388.3,2025-08-07 07:39:47,493.97,11,{}
klv_cust3303082117,user24@example.com,+15554397035,Carol,Kim,New York,NSW,Canada,America/New_York,social,{},subscribed,True,False,2022-01-25 21:10:05,2024-09-14 19:26:56,104.73,442.0,low,unknown,52.1,78.54,77.8,2025-12-26 10:59:57,240.1,11,{}
klv_cust2625792787,user25@example.com,+15555294297,Carol,Kim,Los Angeles,ON,United States,America/New_York,landing_page,{},subscribed,True,True,2022-05-24 23:43:17,2024-02-09 14:17:14,39.67,187.53,high,female,31.9,78.04,681.05,2025-11-17 02:48:03,67.57,3,{}
klv_cust7665963761,user26@example.com,+15552841307,Alice,Patel,New York,NY,India,America/New_York,social,{},subscribed,True,True,2022-12-26 19:54:40,2024-03-05 10:43:25,51.59,130.24,low,male,53.6,50.67,782.38,2025-09-03 04:35:48,526.1,5,{}
klv_cust8995970241,user27@example.com,+15559149028,Alice,Chen,London,Greater London,United States,America/New_York,landing_page,{},subscribed,True,True,2023-09-09 21:34:46,2024-09-10 00:12:08,220.69,577.99,low,female,66.1,104.06,181.31,2025-06-27 07:47:41,501.26,11,{}
klv_cust3479708607,user28@example.com,+15555915902,David,Kim,Toronto,NSW,United States,America/New_York,social,{},subscribed,False,True,2023-07-03 00:39:19,2024-08-13 08:29:59,182.23,833.99,medium,female,47.8,75.98,412.09,2025-08-16 22:24:57,401.7,10,{}
klv_cust4026113008,user29@example.com,+15559899774,David,Patel,New York,ON,Australia,America/New_York,shopify,{},subscribed,True,True,2022-11-02 01:32:13,2025-01-29 06:14:25,50.54,222.06,low,unknown,46.3,59.87,366.45,2025-10-13 05:32:50,263.42,4,{}
klv_cust9786748825,user30@example.com,+15552176175,Bob,Kim,Sydney,CA,India,America/New_York,landing_page,{},subscribed,True,True,2022-10-25 15:52:22,2024-05-28 12:38:56,75.2,239.63,winback,female,115.7,83.51,224.63,2025-06-24 10:15:01,387.56,10,{}
klv_cust5728765136,user31@example.com,+15551823633,Bob,Kim,New York,CA,United States,America/New_York,social,{},subscribed,True,True,2023-06-04 06:53:36,2024-03-12 18:29:53,171.13,850.96,low,female,84.1,69.71,177.87,2025-10-14 13:36:18,501.5,2,{}
klv_cust6488854841,user32@example.com,+15555634877,Carol,Chen,Toronto,NSW,United Kingdom,America/New_York,social,{},subscribed,True,False,2022-10-20 22:16:58,2024-05-18 23:48:37,159.48,561.98,medium,unknown,73.9,100.29,335.06,2025-09-30 08:32:22,338.14,7,{}
klv_cust2566942273,user33@example.com,+15558370799,Eve,Patel,Los Angeles,CA,United States,America/New_York,shopify,{},subscribed,True,False,2022-09-06 23:43:08,2024-03-31 19:55:16,81.32,379.77,high,unknown,94.5,47.47,473.49,2025-08-19 11:08:25,159.93,6,{}
klv_cust6884882440,user34@example.com,+15559815927,Carol,Patel,Toronto,NSW,Canada,America/New_York,landing_page,{},subscribed,True,False,2023-05-22 22:06:31,2024-09-14 06:47:00,102.98,484.47,low,female,96.5,82.35,167.69,2025-05-05 04:48:41,93.58,5,{}
klv_cust3783290795,user35@example.com,+15551271879,Eve,Kim,Sydney,CA,United Kingdom,America/New_York,shopify,{},subscribed,True,False,2023-01-05 20:09:25,2024-01-12 13:20:55,287.27,1348.57,low,male,117.5,39.34,794.69,2025-04-23 17:04:00,245.37,2,{}
klv_cust4131575764,user36@example.com,+15559995196,Carol,Patel,Toronto,NSW,India,America/New_York,shopify,{},subscribed,True,False,2022-12-22 08:45:25,2024-03-18 08:47:02,78.75,220.21,winback,male,69.9,70.31,474.59,2025-09-17 13:12:55,581.51,5,{}
klv_cust5996775663,user37@example.com,+15555848092,Bob,Jones,Los Angeles,NY,Australia,America/New_York,landing_page,{},subscribed,True,False,2023-08-14 09:39:33,2024-02-18 07:07:39,160.88,454.19,high,unknown,70.7,102.43,288.14,2025-09-04 00:05:13,479.49,12,{}
klv_cust6924716023,user38@example.com,+15558390810,Carol,Chen,Sydney,NSW,United States,America/New_York,landing_page,{},subscribed,True,True,2023-03-16 13:36:45,2024-03-15 06:50:13,181.69,748.23,low,female,42.5,118.84,556.29,2025-04-30 21:49:45,228.7,4,{}
klv_cust3392080953,user39@example.com,+15554967887,Bob,Kim,Los Angeles,NY,Australia,America/New_York,social,{},subscribed,True,True,2022-09-17 06:40:16,2024-04-03 22:59:18,38.1,164.58,medium,male,107.8,78.18,453.78,2025-09-27 06:25:56,434.37,6,{}
klv_cust8235363119,user40@example.com,+15556577119,David,Chen,New York,ON,United States,America/New_York,social,{},subscribed,True,False,2023-09-24 13:34:33,2024-02-10 16:06:02,48.38,145.2,low,male,74.8,113.25,436.1,2025-07-31 16:06:42,384.1,3,{}
klv_cust4332894265,user41@example.com,+15556884514,David,Smith,New York,NY,Australia,America/New_York,social,{},subscribed,True,True,2023-10-27 10:24:34,2025-01-24 22:23:26,327.76,825.44,winback,male,34.7,51.13,480.54,2025-11-22 08:53:44,155.3,2,{}
klv_cust6649827836,user42@example.com,+15552566825,Eve,Jones,New York,ON,United States,America/New_York,landing_page,{},subscribed,True,False,2023-12-01 06:54:04,2024-11-30 17:16:49,276.38,758.98,winback,female,47.1,45.06,662.48,2025-08-08 18:48:34,263.34,11,{}
klv_cust2149938334,user43@example.com,+15559329207,Eve,Kim,Toronto,CA,United Kingdom,America/New_York,landing_page,{},subscribed,True,False,2023-01-04 00:14:09,2024-06-02 11:35:40,318.29,1526.43,low,male,71.1,104.28,144.15,2025-12-25 01:13:44,406.48,9,{}
klv_cust2351531223,user44@example.com,+15552705865,Eve,Patel,Sydney,ON,Australia,America/New_York,shopify,{},subscribed,True,False,2023-11-28 06:46:52,2024-10-24 20:50:18,322.28,1315.59,medium,female,111.4,40.07,514.32,2025-12-22 03:32:36,203.4,7,{}
klv_cust8110054933,user45@example.com,+15553622377,Eve,Kim,New York,NY,United Kingdom,America/New_York,social,{},subscribed,True,False,2022-01-20 14:08:03,2024-07-02 12:47:47,83.58,337.3,medium,female,55.0,90.87,698.87,2025-10-19 20:08:23,347.64,6,{}
klv_cust2970753705,user46@example.com,+15553983188,Carol,Jones,Sydney,NY,United Kingdom,America/New_York,shopify,{},subscribed,True,True,2022-11-23 19:26:42,2024-09-27 23:05:17,332.27,1568.27,low,unknown,117.9,78.16,134.58,2025-04-26 21:21:01,301.07,9,{}
klv_cust2137651678,user47@example.com,+15552994440,David,Chen,Sydney,NY,United States,America/New_York,shopify,{},subscribed,True,True,2023-10-01 08:58:05,2024-09-12 15:18:10,284.87,1316.12,high,female,75.4,97.42,509.94,2025-05-19 05:49:03,539.64,12,{}
klv_cust7805745017,user48@example.com,+15558726997,Alice,Patel,Sydney,ON,United States,America/New_York,shopify,{},subscribed,True,True,2022-10-07 13:33:37,2024-06-21 02:29:45,314.76,1545.38,low,female,110.5,36.23,720.37,2025-11-10 19:50:22,304.41,2,{}
klv_cust7010379415,user49@example.com,+15553410666,Eve,Kim,Toronto,NY,United States,America/New_York,landing_page,{},subscribed,True,True,2022-09-29 00:06:57,2024-09-14 22:26:51,345.61,998.17,low,unknown,50.1,37.39,145.45,2025-07-16 11:11:56,107.27,6,{}
klv_cust5284391408,user50@example.com,+15551399790,David,Patel,Sydney,NY,United Kingdom,America/New_York,social,{},subscribed,True,False,2023-02-03 22:07:57,2024-12-28 05:20:18,311.36,1361.29,winback,unknown,45.4,102.65,63.05,2025-08-22 22:48:53,147.62,1,{}
klv_cust7483366056,user51@example.com,+15551038138,Carol,Chen,Sydney,CA,United States,America/New_York,landing_page,{},subscribed,True,False,2022-12-01 04:07:03,2025-01-11 08:43:37,110.17,546.72,low,unknown,52.3,53.58,159.44,2025-09-11 17:20:00,590.01,11,{}
klv_cust1470939445,user52@example.com,+15555774890,Alice,Chen,Los Angeles,CA,United States,America/New_York,landing_page,{},subscribed,True,True,2023-10-18 04:52:12,2024-09-08 16:19:11,262.03,1153.38,high,male,118.0,119.84,341.28,2025-09-19 06:50:19,75.92,6,{}
klv_cust3694860228,user53@example.com,+15559621977,Bob,Jones,New York,NSW,Australia,America/New_York,landing_page,{},subscribed,True,True,2023-04-19 04:11:17,2024-08-18 19:30:45,67.27,199.97,low,unknown,103.1,60.17,765.24,2025-10-30 13:59:36,257.03,5,{}
klv_cust5567816720,user54@example.com,+15557067804,Bob,Kim,Sydney,NY,United Kingdom,America/New_York,social,{},subscribed,True,True,2022-01-01 04:25:54,2024-10-11 21:59:45,193.57,788.64,low,unknown,114.2,107.49,604.02,2025-12-20 19:01:45,310.3,12,{}
klv_cust9573276057,user55@example.com,+15552642583,Alice,Patel,Sydney,CA,United States,America/New_York,landing_page,{},subscribed,True,False,2023-04-17 04:39:20,2024-10-18 15:21:53,213.69,1035.82,high,female,45.1,103.48,666.19,2025-12-07 11:03:09,579.28,12,{}
klv_cust7567496105,user56@example.com,+15558104723,Eve,Chen,New York,NSW,United States,America/New_York,landing_page,{},subscribed,True,True,2023-10-06 05:59:56,2024-09-13 17:28:39,275.74,839.77,high,female,63.6,117.89,432.99,2025-09-15 05:00:40,281.07,9,{}
klv_cust9639245200,user57@example.com,+15554404989,Carol,Patel,Toronto,NSW,United States,America/New_York,social,{},subscribed,False,True,2022-07-28 01:21:43,2024-11-11 13:30:18,300.52,1432.1,high,male,47.7,37.36,662.97,2025-06-12 16:12:17,558.26,6,{}
klv_cust4095476665,user58@example.com,+15552810097,David,Chen,New York,CA,United Kingdom,America/New_York,social,{},subscribed,True,False,2023-12-24 08:50:47,2024-12-09 16:50:26,172.9,683.96,low,male,111.2,67.41,438.69,2025-07-23 18:35:29,302.7,11,{}
klv_cust8047877267,user59@example.com,+15558174788,Bob,Jones,New York,CA,United States,America/New_York,social,{},subscribed,True,True,2023-08-22 00:54:16,2024-10-29 17:19:31,302.46,1460.58,low,male,82.4,117.22,297.46,2025-09-12 04:12:36,267.09,3,{}
klv_cust5774080233,user60@example.com,+15555555705,Alice,Jones,Sydney,CA,India,America/New_York,social,{},subscribed,True,True,2022-03-19 08:43:32,2024-06-09 01:42:26,255.0,750.2,medium,female,53.9,96.54,97.23,2025-11-01 04:45:42,587.64,6,{}
klv_cust2867302554,user61@example.com,+15552049120,Alice,Chen,Los Angeles,ON,United Kingdom,America/New_York,shopify,{},subscribed,True,False,2022-01-06 14:27:31,2024-09-30 15:16:20,55.47,241.53,low,female,89.3,56.46,582.83,2025-10-04 18:21:48,404.72,4,{}
klv_cust2948728483,user62@example.com,+15557432012,Eve,Patel,London,NSW,United States,America/New_York,landing_page,{},subscribed,True,False,2023-11-04 18:17:55,2024-11-14 02:32:29,303.07,1001.35,low,female,104.1,118.51,215.85,2025-10-02 06:28:57,53.38,12,{}
klv_cust4919706735,user63@example.com,+15554895625,Alice,Patel,Los Angeles,Greater London,United Kingdom,America/New_York,shopify,{},subscribed,False,True,2022-08-03 13:07:01,2024-07-31 08:54:14,251.21,633.52,high,female,63.4,90.91,238.21,2025-10-03 10:56:29,338.83,7,{}
klv_cust3615507143,user64@example.com,+15551741632,Alice,Chen,London,ON,India,America/New_York,shopify,{},subscribed,True,True,2022-06-15 23:06:28,2024-06-22 02:37:26,103.19,358.66,low,female,120.0,47.33,738.05,2025-09-15 02:47:56,165.45,2,{}
klv_cust5951406973,user65@example.com,+15553848674,Carol,Kim,New York,CA,United States,America/New_York,social,{},subscribed,True,False,2023-06-02 03:15:03,2024-09-12 14:00:46,334.5,976.1,medium,male,39.0,48.56,123.04,2025-12-16 09:56:50,475.7,6,{}
klv_cust4274958945,user66@example.com,+15558845323,David,Patel,New York,NSW,United States,America/New_York,landing_page,{},subscribed,True,True,2023-06-07 14:44:37,2024-08-19 15:58:57,170.23,761.23,medium,female,52.8,36.4,751.85,2025-05-05 21:12:08,345.08,8,{}
klv_cust9592390865,user67@example.com,+15555095826,Bob,Patel,Sydney,NSW,United States,America/New_York,landing_page,{},subscribed,True,False,2022-05-27 18:19:32,2024-07-12 01:56:40,169.16,837.66,low,female,39.0,50.57,753.81,2025-10-03 12:22:40,317.51,1,{}
klv_cust6687206971,user68@example.com,+15552140775,David,Patel,Toronto,CA,United States,America/New_York,landing_page,{},subscribed,True,True,2023-05-11 13:10:27,2024-03-14 06:01:08,45.91,184.86,medium,unknown,57.5,77.9,405.09,2025-05-13 02:02:01,97.1,3,{}
klv_cust1083651970,user69@example.com,+15556785733,Alice,Smith,Sydney,NY,United Kingdom,America/New_York,shopify,{},subscribed,True,False,2022-05-24 03:59:24,2024-12-14 12:34:16,157.65,647.65,low,female,58.4,90.19,306.94,2025-05-05 02:03:14,579.32,9,{}
klv_cust9285415473,user70@example.com,+15551745467,Bob,Chen,Los Angeles,Greater London,Canada,America/New_York,landing_page,{},subscribed,True,False,2022-05-23 06:26:34,2024-04-25 04:19:56,276.88,988.72,low,female,103.4,61.35,365.67,2025-11-24 19:36:53,490.07,8,{}
klv_cust2320763135,user71@example.com,+15557887947,Eve,Chen,Sydney,CA,United States,America/New_York,social,{},subscribed,True,False,2022-04-12 04:22:29,2024-03-10 22:06:21,51.52,140.24,high,male,63.5,44.4,90.5,2025-10-23 17:00:13,584.08,1,{}
klv_cust1248786714,user72@example.com,+15558596038,Carol,Smith,Sydney,Greater London,United Kingdom,America/New_York,social,{},subscribed,True,True,2023-03-07 12:17:41,2024-02-15 07:13:23,285.11,785.25,winback,unknown,74.4,93.09,673.92,2025-09-15 18:33:41,567.67,9,{}
klv_cust5067116918,user73@example.com,+15557978295,David,Patel,Toronto,ON,United Kingdom,America/New_York,social,{},subscribed,True,True,2022-01-24 01:08:46,2024-04-09 00:01:10,237.11,1083.63,low,female,115.8,87.95,168.69,2025-08-27 15:22:41,194.44,4,{}
klv_cust9957813353,user74@example.com,+15556828733,Alice,Smith,Toronto,NY,United Kingdom,America/New_York,social,{},subscribed,True,False,2022-04-10 23:22:22,2024-06-03 23:50:15,115.41,534.04,low,female,74.1,62.48,221.43,2025-06-14 02:54:12,107.0,12,{}
klv_cust4289233844,user75@example.com,+15557860627,David,Jones,Los Angeles,Greater London,United States,America/New_York,landing_page,{},subscribed,True,False,2022-01-24 19:13:30,2024-06-17 07:35:27,240.14,629.85,low,male,112.2,117.7,186.03,2025-09-15 02:05:09,531.29,6,{}
klv_cust3361388464,user76@example.com,+15554831767,Carol,Kim,Toronto,NSW,United States,America/New_York,shopify,{},subscribed,True,False,2023-10-13 09:37:49,2024-06-17 11:19:05,140.86,444.78,low,male,87.7,104.32,220.27,2025-04-18 13:02:17,486.22,10,{}
klv_cust6633778586,user77@example.com,+15554487412,Carol,Jones,Los Angeles,NY,United Kingdom,America/New_York,landing_page,{},subscribed,True,True,2022-08-10 14:25:07,2024-03-28 09:06:55,159.34,740.56,low,male,106.4,72.64,309.92,2025-06-01 06:09:30,443.38,6,{}
klv_cust8086172302,user78@example.com,+15555603289,Bob,Patel,London,Greater London,United Kingdom,America/New_York,shopify,{},subscribed,True,False,2022-04-30 17:37:01,2024-12-18 10:55:19,332.25,1223.93,low,male,55.6,101.64,645.48,2025-12-04 02:52:10,365.67,9,{}
klv_cust7517938612,user79@example.com,+15554359382,Alice,Smith,Los Angeles,Greater London,United Kingdom,America/New_York,shopify,{},subscribed,True,False,2023-11-03 05:43:04,2024-07-13 00:05:08,51.58,250.36,high,unknown,30.7,45.32,242.82,2025-08-20 17:49:00,426.54,3,{}
klv_cust1519709079,user80@example.com,+15551069789,Eve,Kim,Sydney,ON,United States,America/New_York,social,{},subscribed,True,False,2022-01-24 16:30:25,2024-12-19 00:59:00,203.91,947.52,high,male,30.3,69.2,145.23,2025-10-16 23:06:44,278.33,5,{}
klv_cust1965067727,user81@example.com,+15552510453,Carol,Smith,New York,Greater London,United Kingdom,America/New_York,landing_page,{},subscribed,True,False,2023-12-01 07:06:41,2024-01-05 08:01:29,223.44,782.2,medium,male,59.9,44.59,357.73,2025-07-06 10:13:10,337.92,12,{}
klv_cust2452066459,user82@example.com,+15558667628,David,Jones,New York,NSW,United States,America/New_York,social,{},subscribed,True,False,2022-08-09 01:04:07,2024-02-10 18:27:23,37.68,141.35,low,female,56.0,55.91,459.37,2025-07-26 03:41:15,412.64,7,{}
klv_cust1945826486,user83@example.com,+15551064533,Eve,Chen,Toronto,CA,United States,America/New_York,shopify,{},subscribed,False,True,2023-03-17 01:09:46,2024-02-27 08:45:49,68.17,328.21,medium,female,69.9,95.38,476.49,2025-11-19 07:01:36,344.39,12,{}
klv_cust9894847574,user84@example.com,+15553635440,Eve,Chen,Sydney,NY,United States,America/New_York,social,{},subscribed,True,True,2022-05-11 13:48:15,2024-06-10 11:33:40,150.34,496.71,low,male,55.0,45.07,359.28,2025-08-16 05:29:06,183.14,3,{}
klv_cust3710566582,user85@example.com,+15556477857,Alice,Smith,London,CA,United Kingdom,America/New_York,social,{},subscribed,True,False,2022-07-20 17:33:32,2024-03-28 04:36:25,286.86,769.56,low,female,84.4,58.63,637.99,2025-07-06 14:37:03,124.48,2,{}
klv_cust1983297492,user86@example.com,+15556011349,David,Smith,Toronto,NSW,United Kingdom,America/New_York,landing_page,{},subscribed,True,True,2023-01-17 23:05:17,2024-04-23 10:36:32,295.71,771.54,medium,unknown,105.2,100.59,237.82,2025-04-13 11:45:52,132.52,10,{}
klv_cust4888749350,user87@example.com,+15557379629,Carol,Patel,Sydney,Greater London,United Kingdom,America/New_York,shopify,{},subscribed,False,True,2022-05-19 23:54:35,2025-02-26 02:07:25,116.32,434.77,medium,unknown,49.4,69.6,261.11,2025-04-26 11:12:36,441.71,6,{}
klv_cust8987073217,user88@example.com,+15557078669,Carol,Patel,London,Greater London,United States,America/New_York,landing_page,{},subscribed,True,False,2023-09-19 03:47:28,2024-03-13 01:26:00,202.54,719.7,medium,male,98.8,89.15,119.4,2025-12-07 22:24:53,368.92,11,{}
klv_cust9894264595,user89@example.com,+15556980402,Eve,Chen,Toronto,NY,United States,America/New_York,social,{},subscribed,True,False,2023-08-25 22:00:17,2024-09-16 03:12:20,221.68,906.08,high,male,45.0,95.02,546.06,2025-09-15 15:05:09,361.58,2,{}
klv_cust6317189421,user90@example.com,+15553827440,Bob,Chen,New York,NSW,United States,America/New_York,social,{},subscribed,True,True,2022-11-02 06:11:18,2024-07-27 20:41:30,129.97,422.03,medium,male,61.9,39.76,215.43,2025-05-04 16:18:38,471.85,2,{}
klv_cust8168204967,user91@example.com,+15551426014,Carol,Jones,Toronto,CA,United Kingdom,America/New_York,landing_page,{},subscribed,True,False,2022-11-13 00:44:07,2024-11-23 22:36:20,142.28,413.44,low,female,41.6,93.49,772.16,2025-05-18 19:56:27,597.97,7,{}
klv_cust3030106617,user92@example.com,+15558863996,Alice,Smith,London,NY,United Kingdom,America/New_York,social,{},subscribed,True,True,2022-03-22 13:29:28,2024-04-18 12:43:39,197.8,848.95,medium,male,70.8,36.96,461.61,2025-06-01 19:04:41,588.85,9,{}
klv_cust8664882079,user93@example.com,+15555223571,Eve,Smith,Sydney,NSW,Canada,America/New_York,landing_page,{},subscribed,True,False,2022-05-23 08:54:21,2024-04-16 11:09:16,342.74,1671.11,low,male,79.6,42.84,166.61,2025-07-14 18:51:37,292.34,2,{}
klv_cust8763140509,user94@example.com,+15557313309,Carol,Patel,New York,NSW,Canada,America/New_York,social,{},subscribed,True,False,2023-12-05 06:13:45,2024-01-13 13:49:54,23.22,72.06,low,female,79.8,96.8,674.08,2025-07-18 03:20:25,231.75,1,{}
klv_cust1817804383,user95@example.com,+15552153086,David,Smith,Toronto,CA,United States,America/New_York,social,{},subscribed,True,True,2023-01-03 18:53:03,2024-04-12 16:48:51,287.39,967.75,low,male,87.1,102.58,245.35,2025-07-12 18:54:10,240.34,6,{}
klv_cust7146318035,user96@example.com,+15558052544,David,Kim,New York,Greater London,United States,America/New_York,social,{},subscribed,True,True,2023-05-20 23:57:00,2024-07-01 14:52:20,294.65,1455.43,low,unknown,91.3,75.18,401.59,2025-05-26 11:41:11,384.62,10,{}
klv_cust7114223633,user97@example.com,+15555599828,Carol,Chen,Sydney,CA,United Kingdom,America/New_York,social,{},subscribed,True,True,2023-05-02 15:23:18,2024-07-07 23:54:19,208.65,685.84,high,unknown,51.4,46.44,436.58,2025-06-02 13:53:46,172.45,9,{}
klv_cust4131356954,user98@example.com,+15551427577,Alice,Kim,Toronto,CA,India,America/New_York,social,{},subscribed,True,True,2023-10-08 18:10:34,2024-10-29 03:16:44,62.58,298.2,low,male,45.8,51.34,514.12,2025-12-29 15:01:23,471.23,4,{}
klv_cust1422701550,user99@example.com,+15558312387,Bob,Jones,Los Angeles,NSW,United Kingdom,America/New_York,social,{},subscribed,True,True,2023-06-05 20:31:57,2025-02-02 05:25:58,201.46,839.08,high,unknown,94.1,69.41,140.88,2025-08-16 00:46:41,576.21,4,{}
