id,name,email,phone,customer_id,financial_status,fulfillment_status,currency,total_price,subtotal_price,total_discounts,total_tax,total_shipping,total_refunds,net_payment,billing_address,shipping_address,shipping_country,shipping_country_code,line_items,discount_codes,refunds,fulfillments,transactions,tags,note,source_name,landing_site,referring_site,utm_source,utm_medium,utm_campaign,utm_content,utm_term,cancelled_at,cancel_reason,closed_at,processed_at,created_at,updated_at,customer_orders_count,customer_total_spent
5000010,#ORD5000010,user3@example.com,,cust1958682846,paid,fulfilled,USD,98.24,90.96,0.0,7.28,0.0,0.0,98.24,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://direct.com,direct,email,camp_14,,,,,2023-05-30 16:53:53,2023-05-30 16:53:53,2023-05-30 16:53:53,2023-05-30 16:53:53,1,78.59
5000011,#ORD5000011,user4@example.com,,cust4163119785,paid,fulfilled,USD,105.01,86.95,0.0,6.96,11.1,0.0,105.01,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://influencer.com,influencer,,camp_5,,,,,2024-07-14 03:56:15,2024-07-14 03:56:15,2024-07-14 03:56:15,2024-07-14 03:56:15,1,84.01
5000012,#ORD5000012,user5@example.com,,cust9963334018,paid,fulfilled,USD,50.73,46.97,0.0,3.76,0.0,0.0,50.73,{},{},CA,CA,[],[],[],[],[],,,web,/collections/all,https://organic.com,organic,organic,camp_11,,,,,2023-08-16 20:40:45,2023-08-16 20:40:45,2023-08-16 20:40:45,2023-08-16 20:40:45,1,40.58
5000013,#ORD5000013,user6@example.com,,cust2812140441,paid,fulfilled,USD,93.12,76.95,0.0,6.16,10.01,0.0,93.12,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://organic.com,organic,,camp_7,,,,,2023-03-28 09:59:33,2023-03-28 09:59:33,2023-03-28 09:59:33,2023-03-28 09:59:33,1,74.5
5000014,#ORD5000014,user6@example.com,,cust2812140441,paid,fulfilled,USD,118.16,109.96,11.0,7.92,11.28,0.0,118.16,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://direct.com,direct,social,camp_3,,,,,2024-03-11 20:19:55,2024-03-11 20:19:55,2024-03-11 20:19:55,2024-03-11 20:19:55,2,189.06
5000015,#ORD5000015,user6@example.com,,cust2812140441,paid,fulfilled,USD,70.16,64.96,0.0,5.2,0.0,0.0,70.16,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://direct.com,direct,,camp_14,,,,,2024-11-26 23:26:00,2024-11-26 23:26:00,2024-11-26 23:26:00,2024-11-26 23:26:00,3,168.38
5000016,#ORD5000016,user6@example.com,,cust2812140441,paid,fulfilled,USD,63.58,50.97,0.0,4.08,8.53,0.0,63.58,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://influencer.com,influencer,email,camp_7,,,,,2024-12-24 22:18:54,2024-12-24 22:18:54,2024-12-24 22:18:54,2024-12-24 22:18:54,4,203.46
5000017,#ORD5000017,user7@example.com,,cust1127978094,paid,fulfilled,USD,59.17,44.97,0.0,3.6,10.6,0.0,59.17,{},{},IN,IN,[],[],[],[],[],,,web,/collections/all,https://email.com,email,email,camp_11,,,,,2024-05-26 12:03:37,2024-05-26 12:03:37,2024-05-26 12:03:37,2024-05-26 12:03:37,1,47.34
5000018,#ORD5000018,user8@example.com,,cust1939042955,paid,fulfilled,USD,101.22,85.96,0.0,6.88,8.38,0.0,101.22,{},{},IN,IN,[],[],[],[],[],,,web,/collections/all,https://email.com,email,social,camp_1,,,,,2023-06-26 19:55:16,2023-06-26 19:55:16,2023-06-26 19:55:16,2023-06-26 19:55:16,1,80.98
5000019,#ORD5000019,user8@example.com,,cust1939042955,paid,fulfilled,USD,73.78,57.96,0.0,4.64,11.18,0.0,73.78,{},{},IN,IN,[],[],[],[],[],,,web,/collections/all,https://google.com,google,cpc,camp_5,,,,,2023-11-05 06:49:50,2023-11-05 06:49:50,2023-11-05 06:49:50,2023-11-05 06:49:50,2,118.05
5000020,#ORD5000020,user8@example.com,,cust1939042955,paid,fulfilled,USD,27.19,27.98,2.8,2.01,0.0,0.0,27.19,{},{},IN,IN,[],[],[],[],[],,,web,/collections/all,https://direct.com,direct,social,camp_3,,,,,2024-09-14 07:18:51,2024-09-14 07:18:51,2024-09-14 07:18:51,2024-09-14 07:18:51,3,65.26
5000021,#ORD5000021,user8@example.com,,cust1939042955,paid,fulfilled,USD,114.73,98.97,0.0,7.92,7.84,0.0,114.73,{},{},IN,IN,[],[],[],[],[],,,web,/collections/all,https://direct.com,direct,cpc,camp_16,,,,,2024-11-20 16:23:09,2024-11-20 16:23:09,2024-11-20 16:23:09,2024-11-20 16:23:09,4,367.14
5000022,#ORD5000022,user9@example.com,,cust9703905715,paid,fulfilled,USD,28.83,17.99,0.0,1.44,9.4,0.0,28.83,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://organic.com,organic,social,camp_4,,,,,2023-06-28 11:57:10,2023-06-28 11:57:10,2023-06-28 11:57:10,2023-06-28 11:57:10,1,23.06
5000023,#ORD5000023,user10@example.com,,cust7635473142,paid,fulfilled,USD,65.13,49.97,0.0,4.0,11.16,0.0,65.13,{},{},CA,CA,[],[],[],[],[],,,web,/collections/all,https://affiliate.com,affiliate,email,camp_14,,,,,2024-04-10 19:17:19,2024-04-10 19:17:19,2024-04-10 19:17:19,2024-04-10 19:17:19,1,52.1
5000024,#ORD5000024,user11@example.com,,cust6241752544,paid,fulfilled,USD,51.81,47.97,0.0,3.84,0.0,0.0,51.81,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://organic.com,organic,email,camp_5,,,,,2023-02-15 22:27:18,2023-02-15 22:27:18,2023-02-15 22:27:18,2023-02-15 22:27:18,1,41.45
5000025,#ORD5000025,user11@example.com,,cust6241752544,paid,fulfilled,USD,90.68,75.95,0.0,6.08,8.65,0.0,90.68,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://influencer.com,influencer,social,camp_14,,,,,2023-07-01 02:13:59,2023-07-01 02:13:59,2023-07-01 02:13:59,2023-07-01 02:13:59,2,145.09
5000026,#ORD5000026,user11@example.com,,cust6241752544,paid,fulfilled,USD,25.11,15.99,0.0,1.28,7.84,0.0,25.11,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://email.com,email,organic,camp_20,,,,,2023-10-18 18:00:06,2023-10-18 18:00:06,2023-10-18 18:00:06,2023-10-18 18:00:06,3,60.26
5000027,#ORD5000027,user11@example.com,,cust6241752544,paid,fulfilled,USD,33.46,30.98,0.0,2.48,0.0,0.0,33.46,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://influencer.com,influencer,email,camp_9,,,,,2023-10-20 23:48:05,2023-10-20 23:48:05,2023-10-20 23:48:05,2023-10-20 23:48:05,4,107.07
5000028,#ORD5000028,user11@example.com,,cust6241752544,paid,fulfilled,USD,120.56,117.96,11.8,8.49,5.91,0.0,120.56,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://affiliate.com,affiliate,,camp_15,,,,,2024-06-24 09:56:20,2024-06-24 09:56:20,2024-06-24 09:56:20,2024-06-24 09:56:20,5,482.24
5000029,#ORD5000029,user11@example.com,,cust6241752544,paid,fulfilled,USD,67.99,69.95,7.0,5.04,0.0,0.0,67.99,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://direct.com,direct,cpc,camp_3,,,,,2024-08-20 06:06:40,2024-08-20 06:06:40,2024-08-20 06:06:40,2024-08-20 06:06:40,6,326.35
5000030,#ORD5000030,user12@example.com,,cust7825844140,paid,fulfilled,USD,93.45,79.95,0.0,6.4,7.1,0.0,93.45,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://organic.com,organic,email,camp_1,,,,,2024-11-03 20:24:42,2024-11-03 20:24:42,2024-11-03 20:24:42,2024-11-03 20:24:42,1,74.76
5000031,#ORD5000031,user13@example.com,,cust4460967357,paid,fulfilled,USD,33.03,33.98,3.4,2.45,0.0,0.0,33.03,{},{},CA,CA,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,social,camp_5,,,,,2023-03-24 00:17:48,2023-03-24 00:17:48,2023-03-24 00:17:48,2023-03-24 00:17:48,1,26.42
5000032,#ORD5000032,user13@example.com,,cust4460967357,paid,fulfilled,USD,56.13,51.97,0.0,4.16,0.0,0.0,56.13,{},{},CA,CA,[],[],[],[],[],,,web,/collections/all,https://google.com,google,social,camp_8,,,,,2023-10-14 21:36:00,2023-10-14 21:36:00,2023-10-14 21:36:00,2023-10-14 21:36:00,2,89.81
5000033,#ORD5000033,user14@example.com,,cust8293453178,paid,fulfilled,USD,29.14,29.98,3.0,2.16,0.0,0.0,29.14,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://email.com,email,cpc,camp_7,,,,,2023-03-15 07:25:41,2023-03-15 07:25:41,2023-03-15 07:25:41,2023-03-15 07:25:41,1,23.31
5000034,#ORD5000034,user14@example.com,,cust8293453178,paid,fulfilled,USD,29.14,29.98,3.0,2.16,0.0,0.0,29.14,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,social,camp_20,,,,,2023-07-22 17:05:00,2023-07-22 17:05:00,2023-07-22 17:05:00,2023-07-22 17:05:00,2,46.62
5000035,#ORD5000035,user14@example.com,,cust8293453178,paid,fulfilled,USD,46.41,42.97,0.0,3.44,0.0,0.0,46.41,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://organic.com,organic,,camp_12,,,,,2023-10-01 13:30:45,2023-10-01 13:30:45,2023-10-01 13:30:45,2023-10-01 13:30:45,3,111.38
5000036,#ORD5000036,user14@example.com,,cust8293453178,paid,fulfilled,USD,98.41,87.94,8.79,6.33,12.93,0.0,98.41,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,organic,camp_19,,,,,2023-10-14 03:04:19,2023-10-14 03:04:19,2023-10-14 03:04:19,2023-10-14 03:04:19,4,314.91
5000037,#ORD5000037,user15@example.com,,cust6756332150,paid,fulfilled,USD,60.22,61.96,6.2,4.46,0.0,0.0,60.22,{},{},CA,CA,[],[],[],[],[],,,web,/collections/all,https://affiliate.com,affiliate,email,camp_15,,,,,2023-09-05 09:25:04,2023-09-05 09:25:04,2023-09-05 09:25:04,2023-09-05 09:25:04,1,48.18
5000038,#ORD5000038,user15@example.com,,cust6756332150,paid,fulfilled,USD,112.62,95.95,0.0,7.68,8.99,0.0,112.62,{},{},CA,CA,[],[],[],[],[],,,web,/collections/all,https://affiliate.com,affiliate,,camp_7,,,,,2024-03-24 05:41:05,2024-03-24 05:41:05,2024-03-24 05:41:05,2024-03-24 05:41:05,2,180.19
5000039,#ORD5000039,user15@example.com,,cust6756332150,paid,fulfilled,USD,56.91,40.97,0.0,3.28,12.66,0.0,56.91,{},{},CA,CA,[],[],[],[],[],,,web,/collections/all,https://influencer.com,influencer,cpc,camp_18,,,,,2024-11-16 21:29:07,2024-11-16 21:29:07,2024-11-16 21:29:07,2024-11-16 21:29:07,3,136.58
5000040,#ORD5000040,user16@example.com,,cust1667779376,paid,fulfilled,USD,54.01,43.97,0.0,3.52,6.52,0.0,54.01,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://google.com,google,email,camp_19,,,,,2023-07-03 00:49:14,2023-07-03 00:49:14,2023-07-03 00:49:14,2023-07-03 00:49:14,1,43.21
5000041,#ORD5000041,user16@example.com,,cust1667779376,paid,fulfilled,USD,87.93,75.95,0.0,6.08,5.9,0.0,87.93,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://affiliate.com,affiliate,email,camp_19,,,,,2023-07-24 18:24:57,2023-07-24 18:24:57,2023-07-24 18:24:57,2023-07-24 18:24:57,2,140.69
5000042,#ORD5000042,user16@example.com,,cust1667779376,paid,fulfilled,USD,51.36,40.97,0.0,3.28,7.11,0.0,51.36,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://direct.com,direct,cpc,camp_14,,,,,2023-11-20 03:02:30,2023-11-20 03:02:30,2023-11-20 03:02:30,2023-11-20 03:02:30,3,123.26
5000043,#ORD5000043,user16@example.com,,cust1667779376,paid,fulfilled,USD,56.12,51.96,0.0,4.16,0.0,0.0,56.12,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://organic.com,organic,email,camp_9,,,,,2024-03-03 08:24:54,2024-03-03 08:24:54,2024-03-03 08:24:54,2024-03-03 08:24:54,4,179.58
5000044,#ORD5000044,user16@example.com,,cust1667779376,paid,fulfilled,USD,139.5,131.95,13.2,9.5,11.25,0.0,139.5,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://direct.com,direct,social,camp_1,,,,,2024-08-23 13:23:56,2024-08-23 13:23:56,2024-08-23 13:23:56,2024-08-23 13:23:56,5,558.0
5000045,#ORD5000045,user17@example.com,,cust2445662585,refunded,fulfilled,USD,16.19,14.99,0.0,1.2,0.0,0.0,16.19,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://email.com,email,email,camp_14,,,,,2023-01-07 16:37:04,2023-01-07 16:37:04,2023-01-07 16:37:04,2023-01-07 16:37:04,1,12.95
5000046,#ORD5000046,user17@example.com,,cust2445662585,paid,fulfilled,USD,98.91,95.94,9.59,6.91,5.65,0.0,98.91,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://organic.com,organic,social,camp_2,,,,,2023-05-18 02:45:14,2023-05-18 02:45:14,2023-05-18 02:45:14,2023-05-18 02:45:14,2,158.26
5000047,#ORD5000047,user17@example.com,,cust2445662585,paid,fulfilled,USD,99.2,79.95,0.0,6.4,12.85,0.0,99.2,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://organic.com,organic,cpc,camp_1,,,,,2023-09-08 23:50:22,2023-09-08 23:50:22,2023-09-08 23:50:22,2023-09-08 23:50:22,3,238.08
5000048,#ORD5000048,user17@example.com,,cust2445662585,pending,fulfilled,USD,32.38,29.98,0.0,2.4,0.0,0.0,32.38,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://email.com,email,organic,camp_3,,,,,2024-04-16 09:37:35,2024-04-16 09:37:35,2024-04-16 09:37:35,2024-04-16 09:37:35,4,103.62
5000049,#ORD5000049,user17@example.com,,cust2445662585,paid,fulfilled,USD,34.54,31.98,0.0,2.56,0.0,0.0,34.54,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://organic.com,organic,cpc,camp_3,,,,,2024-12-21 16:34:50,2024-12-21 16:34:50,2024-12-21 16:34:50,2024-12-21 16:34:50,5,138.16
5000050,#ORD5000050,user17@example.com,,cust2445662585,paid,fulfilled,USD,65.13,60.96,6.1,4.39,5.88,0.0,65.13,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://email.com,email,email,camp_5,,,,,2025-03-19 23:08:09,2025-03-19 23:08:09,2025-03-19 23:08:09,2025-03-19 23:08:09,6,312.62
5000051,#ORD5000051,user18@example.com,,cust5693307665,paid,fulfilled,USD,53.03,39.99,0.0,3.2,9.84,0.0,53.03,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,cpc,camp_1,,,,,2023-08-19 00:56:33,2023-08-19 00:56:33,2023-08-19 00:56:33,2023-08-19 00:56:33,1,42.42
5000052,#ORD5000052,user19@example.com,,cust5710360983,pending,fulfilled,USD,84.47,69.96,0.0,5.6,8.91,0.0,84.47,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://influencer.com,influencer,,camp_15,,,,,2023-03-02 14:32:13,2023-03-02 14:32:13,2023-03-02 14:32:13,2023-03-02 14:32:13,1,67.58
5000053,#ORD5000053,user20@example.com,,cust8934927891,paid,fulfilled,USD,27.47,14.99,0.0,1.2,11.28,0.0,27.47,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://direct.com,direct,cpc,camp_9,,,,,2023-02-15 09:03:07,2023-02-15 09:03:07,2023-02-15 09:03:07,2023-02-15 09:03:07,1,21.98
5000054,#ORD5000054,user20@example.com,,cust8934927891,paid,fulfilled,USD,109.56,95.97,0.0,7.68,5.91,0.0,109.56,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://email.com,email,email,camp_20,,,,,2023-07-18 06:13:58,2023-07-18 06:13:58,2023-07-18 06:13:58,2023-07-18 06:13:58,2,175.3
5000055,#ORD5000055,user21@example.com,,cust7887950851,paid,fulfilled,USD,79.27,71.95,7.2,5.18,9.34,0.0,79.27,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://affiliate.com,affiliate,cpc,camp_2,,,,,2024-01-08 03:06:02,2024-01-08 03:06:02,2024-01-08 03:06:02,2024-01-08 03:06:02,1,63.42
5000056,#ORD5000056,user21@example.com,,cust7887950851,paid,fulfilled,USD,44.08,33.98,0.0,2.72,7.38,0.0,44.08,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://organic.com,organic,cpc,camp_5,,,,,2024-01-25 06:20:13,2024-01-25 06:20:13,2024-01-25 06:20:13,2024-01-25 06:20:13,2,70.53
5000057,#ORD5000057,user21@example.com,,cust7887950851,paid,fulfilled,USD,39.93,25.98,0.0,2.08,11.87,0.0,39.93,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://email.com,email,cpc,camp_18,,,,,2024-11-21 17:06:41,2024-11-21 17:06:41,2024-11-21 17:06:41,2024-11-21 17:06:41,3,95.83
5000058,#ORD5000058,user22@example.com,,cust4466589567,paid,fulfilled,USD,99.77,84.95,0.0,6.8,8.02,0.0,99.77,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,email,camp_12,,,,,2023-10-14 02:56:26,2023-10-14 02:56:26,2023-10-14 02:56:26,2023-10-14 02:56:26,1,79.82
5000059,#ORD5000059,user23@example.com,,cust8429141456,paid,fulfilled,USD,105.06,85.95,0.0,6.88,12.23,0.0,105.06,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,email,camp_19,,,,,2023-11-27 17:17:52,2023-11-27 17:17:52,2023-11-27 17:17:52,2023-11-27 17:17:52,1,84.05
5000060,#ORD5000060,user23@example.com,,cust8429141456,paid,fulfilled,USD,66.91,55.96,0.0,4.48,6.47,0.0,66.91,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,cpc,camp_19,,,,,2024-01-07 12:35:57,2024-01-07 12:35:57,2024-01-07 12:35:57,2024-01-07 12:35:57,2,107.06
5000061,#ORD5000061,user24@example.com,,cust3303082117,paid,fulfilled,USD,25.9,23.98,0.0,1.92,0.0,0.0,25.9,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://influencer.com,influencer,social,camp_14,,,,,2024-01-07 19:58:11,2024-01-07 19:58:11,2024-01-07 19:58:11,2024-01-07 19:58:11,1,20.72
5000062,#ORD5000062,user25@example.com,,cust2625792787,paid,fulfilled,USD,88.37,69.96,0.0,5.6,12.81,0.0,88.37,{},{},DE,DE,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,email,camp_3,,,,,2023-08-16 03:39:33,2023-08-16 03:39:33,2023-08-16 03:39:33,2023-08-16 03:39:33,1,70.7
5000063,#ORD5000063,user26@example.com,,cust7665963761,paid,fulfilled,USD,75.28,61.96,0.0,4.96,8.36,0.0,75.28,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://email.com,email,cpc,camp_12,,,,,2023-04-28 05:40:46,2023-04-28 05:40:46,2023-04-28 05:40:46,2023-04-28 05:40:46,1,60.22
5000064,#ORD5000064,user26@example.com,,cust7665963761,paid,fulfilled,USD,78.68,64.96,0.0,5.2,8.52,0.0,78.68,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,organic,camp_14,,,,,2024-03-18 12:29:35,2024-03-18 12:29:35,2024-03-18 12:29:35,2024-03-18 12:29:35,2,125.89
5000065,#ORD5000065,user26@example.com,,cust7665963761,paid,fulfilled,USD,31.3,28.98,0.0,2.32,0.0,0.0,31.3,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,,camp_10,,,,,2024-05-29 23:07:42,2024-05-29 23:07:42,2024-05-29 23:07:42,2024-05-29 23:07:42,3,75.12
5000066,#ORD5000066,user26@example.com,,cust7665963761,paid,fulfilled,USD,22.14,12.99,1.3,0.94,9.51,0.0,22.14,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,email,camp_3,,,,,2024-08-08 09:46:48,2024-08-08 09:46:48,2024-08-08 09:46:48,2024-08-08 09:46:48,4,70.85
5000067,#ORD5000067,user26@example.com,,cust7665963761,paid,fulfilled,USD,51.72,37.98,0.0,3.04,10.7,0.0,51.72,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,,camp_7,,,,,2024-12-24 02:05:55,2024-12-24 02:05:55,2024-12-24 02:05:55,2024-12-24 02:05:55,5,206.88
5000068,#ORD5000068,user26@example.com,,cust7665963761,paid,fulfilled,USD,76.6,63.96,0.0,5.12,7.52,0.0,76.6,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://affiliate.com,affiliate,email,camp_16,,,,,2024-12-29 03:15:47,2024-12-29 03:15:47,2024-12-29 03:15:47,2024-12-29 03:15:47,6,367.68
5000069,#ORD5000069,user27@example.com,,cust8995970241,paid,fulfilled,USD,176.94,153.94,0.0,12.32,10.68,0.0,176.94,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://email.com,email,email,camp_11,,,,,2024-05-02 19:20:28,2024-05-02 19:20:28,2024-05-02 19:20:28,2024-05-02 19:20:28,1,141.55
5000070,#ORD5000070,user27@example.com,,cust8995970241,paid,fulfilled,USD,40.39,29.98,3.0,2.16,11.25,0.0,40.39,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://influencer.com,influencer,cpc,camp_6,,,,,2024-07-21 16:16:14,2024-07-21 16:16:14,2024-07-21 16:16:14,2024-07-21 16:16:14,2,64.62
5000071,#ORD5000071,user27@example.com,,cust8995970241,paid,fulfilled,USD,36.91,37.98,3.8,2.73,0.0,0.0,36.91,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,cpc,camp_15,,,,,2024-08-22 11:30:04,2024-08-22 11:30:04,2024-08-22 11:30:04,2024-08-22 11:30:04,3,88.58
5000072,#ORD5000072,user27@example.com,,cust8995970241,paid,fulfilled,USD,21.14,11.99,0.0,0.96,8.19,0.0,21.14,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://google.com,google,cpc,camp_13,,,,,2024-09-01 08:12:37,2024-09-01 08:12:37,2024-09-01 08:12:37,2024-09-01 08:12:37,4,67.65
5000073,#ORD5000073,user27@example.com,,cust8995970241,pending,fulfilled,USD,50.87,40.97,0.0,3.28,6.62,0.0,50.87,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,email,camp_14,,,,,2024-09-30 01:13:29,2024-09-30 01:13:29,2024-09-30 01:13:29,2024-09-30 01:13:29,5,203.48
5000074,#ORD5000074,user27@example.com,,cust8995970241,paid,fulfilled,USD,45.58,30.98,0.0,2.48,12.12,0.0,45.58,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://affiliate.com,affiliate,,camp_5,,,,,2024-12-29 23:20:34,2024-12-29 23:20:34,2024-12-29 23:20:34,2024-12-29 23:20:34,6,218.78
5000075,#ORD5000075,user28@example.com,,cust3479708607,paid,fulfilled,USD,35.83,27.98,0.0,2.24,5.61,0.0,35.83,{},{},GB,GB,[],[],[],[],[],,,web,/collections/all,https://organic.com,organic,social,camp_13,,,,,2024-07-29 12:11:03,2024-07-29 12:11:03,2024-07-29 12:11:03,2024-07-29 12:11:03,1,28.66
5000076,#ORD5000076,user29@example.com,,cust4026113008,paid,fulfilled,USD,98.25,82.96,0.0,6.64,8.65,0.0,98.25,{},{},CA,CA,[],[],[],[],[],,,web,/collections/all,https://affiliate.com,affiliate,cpc,camp_7,,,,,2024-06-19 21:48:34,2024-06-19 21:48:34,2024-06-19 21:48:34,2024-06-19 21:48:34,1,78.6
